,SEGUNDA,,,,,,TERCA,,,,,,QUARTA,,,,,,QUINTA,,,,,,SEXTA,,,,
,SALA,DISC,PROF,CAT,PER (ant;novo),,SALA,DISC,PROF,CAT,PER (ant;novo),,SALA,DISC,PROF,CAT,PER (ant;novo),,SALA,DISC,PROF,CAT,PER (ant;novo),,SALA,DISC,PROF,CAT,PER (ant;novo)
7,,,,,,,pre,basquete-fem,outro,opt-geral,-;-,,,,,,,,pre,basquete-fem,outro,opt-geral,-;-,,cd107,projeto-redes,peter,opt-especifica,-;-
,,,,,,,cd107,projeto-redes,peter,opt-especifica,-;-,,,,,,,,pre,sociologia,outro,opt-geral,-;-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,re04,eda-t1,adalberto,obrigatoria,3;3,,re08,ic-t2,carlos,obrigatoria,1;1,,re08,bd2,carlos,obrigatoria,6;-,,pre,fmcc2-t2,eanes,obrigatoria,-;2,,pre,fmcc1-t1,cwilson,obrigatoria,-;1
,pre,prog1-t2,dalton,obrigatoria,1;1,,re04,eda-t2,joao,obrigatoria,3;3,,re04,compiladores,franklin,obrigatoria,5;7,,lcc3b,labprog1-t2,dalton,obrigatoria,1;1,,pre,fmcc1-t2,eanes,obrigatoria,-;1
,pre/lcc2,bd1-t2,campelo,obrigatoria,5;4,,pre,ic-t1,joseana,obrigatoria,1;1,,cd107,fpcc3,leandro,pos-graduacao,-,,lcc3c,labprog1-t3,joao,obrigatoria,1;1,,pre,percepcao-comp,herman,opt-especifica,-;-
,,,,,,,lcc3a,labprog2-t1,livia,obrigatoria,2;2,,pre,prog2-t1,livia,obrigatoria,2;2,,lcc3a,labprog1-t1,jorge,obrigatoria,1;1,,pre,oac,joseana,obrigatoria,4;4
,pre,ingles,outro,opt-geral,-;-,,pre,cnum-t2,bruno,outros-cursos,-,,pre,prog2-t2,matheus,obrigatoria,2;2,,cd107,adsd,reinaldo,obrigatoria/opt-especifica,7;-,,pre,tecprogdee-t1,eustaquio,outros-cursos,-
